日期,产品线,销售额,成本,利润,利润率
2024-02-18,平板电脑,8749,5249.4,3499.6000000000004,0.4
2024-02-19,智能手表,3108,1554.0,1554.0,0.5
2024-02-19,无线耳机,2595,1297.5,1297.5,0.5
2024-02-19,平板电脑,4839,2903.4,1935.6,0.39999999999999997
2024-02-20,智能手表,2576,1288.0,1288.0,0.5
2024-02-20,无线耳机,2599,1299.5,1299.5,0.5
2024-02-20,平板电脑,5106,3063.6,2042.4,0.4
2024-02-21,智能手表,2816,1408.0,1408.0,0.5
2024-02-21,无线耳机,2433,1216.5,1216.5,0.5
2024-02-21,平板电脑,4089,2453.4,1635.6,0.39999999999999997
2024-02-22,智能手表,2878,1439.0,1439.0,0.5
2024-02-22,无线耳机,2400,1200.0,1200.0,0.5
2024-02-22,平板电脑,5677,3406.2,2270.8,0.4
2024-02-23,智能手表,2548,1274.0,1274.0,0.5
2024-02-23,无线耳机,3344,1672.0,1672.0,0.5
2024-02-23,平板电脑,5948,3568.7999999999997,2379.2000000000003,0.4
2024-02-24,智能手表,4137,2068.5,2068.5,0.5
2024-02-24,无线耳机,4746,2373.0,2373.0,0.5
2024-02-24,平板电脑,8309,4985.4,3323.6000000000004,0.4
2024-02-25,智能手表,4935,2467.5,2467.5,0.5
2024-02-25,无线耳机,3666,1833.0,1833.0,0.5
2024-02-25,平板电脑,7010,4206.0,2804.0,0.4
2024-02-26,智能手表,3284,1642.0,1642.0,0.5
2024-02-26,无线耳机,2763,1381.5,1381.5,0.5
2024-02-26,平板电脑,5449,3269.4,2179.6,0.39999999999999997
2024-02-27,智能手表,3585,1792.5,1792.5,0.5
2024-02-27,无线耳机,2449,1224.5,1224.5,0.5
2024-02-27,平板电脑,5206,3123.6,2082.4,0.4
2024-02-28,智能手表,3401,1700.5,1700.5,0.5
2024-02-28,无线耳机,3049,1524.5,1524.5,0.5
2024-02-28,平板电脑,5153,3091.7999999999997,2061.2000000000003,0.4000000000000001
2024-02-29,智能手表,3415,1707.5,1707.5,0.5
2024-02-29,无线耳机,3341,1670.5,1670.5,0.5
2024-02-29,平板电脑,4694,2816.4,1877.6,0.39999999999999997
2024-03-01,智能手表,3082,1541.0,1541.0,0.5
2024-03-01,无线耳机,2657,1328.5,1328.5,0.5
2024-03-01,平板电脑,4179,2507.4,1671.6,0.39999999999999997
2024-03-02,智能手表,4241,2120.5,2120.5,0.5
2024-03-02,无线耳机,4300,2150.0,2150.0,0.5
2024-03-02,平板电脑,8569,5141.4,3427.6000000000004,0.4
2024-03-03,智能手表,4090,2045.0,2045.0,0.5
2024-03-03,无线耳机,4057,2028.5,2028.5,0.5
2024-03-03,平板电脑,8120,4872.0,3248.0,0.4
2024-03-04,智能手表,2988,1494.0,1494.0,0.5
2024-03-04,无线耳机,3391,1695.5,1695.5,0.5
2024-03-04,平板电脑,4975,2985.0,1990.0,0.4
2024-03-05,智能手表,3389,1694.5,1694.5,0.5
2024-03-05,无线耳机,3313,1656.5,1656.5,0.5
2024-03-05,平板电脑,4147,2488.2,1658.8000000000002,0.4
2024-03-06,智能手表,3475,1737.5,1737.5,0.5
2024-03-06,无线耳机,3357,1678.5,1678.5,0.5
2024-03-06,平板电脑,5820,3492.0,2328.0,0.4
2024-03-07,智能手表,2802,1401.0,1401.0,0.5
2024-03-07,无线耳机,2536,1268.0,1268.0,0.5
2024-03-07,平板电脑,5889,3533.4,2355.6,0.39999999999999997
2024-03-08,智能手表,2434,1217.0,1217.0,0.5
2024-03-08,无线耳机,3452,1726.0,1726.0,0.5
2024-03-08,平板电脑,4912,2947.2,1964.8000000000002,0.4
2024-03-09,智能手表,4888,2444.0,2444.0,0.5
2024-03-09,无线耳机,5382,2691.0,2691.0,0.5
2024-03-09,平板电脑,8210,4926.0,3284.0,0.4
2024-03-10,智能手表,4697,2348.5,2348.5,0.5
2024-03-10,无线耳机,4468,2234.0,2234.0,0.5
2024-03-10,平板电脑,7758,4654.8,3103.2,0.39999999999999997
2024-03-11,智能手表,3128,1564.0,1564.0,0.5
2024-03-11,无线耳机,3272,1636.0,1636.0,0.5
2024-03-11,平板电脑,4300,2580.0,1720.0,0.4
2024-03-12,智能手表,2815,1407.5,1407.5,0.5
2024-03-12,无线耳机,3500,1750.0,1750.0,0.5
2024-03-12,平板电脑,5993,3595.7999999999997,2397.2000000000003,0.4
2024-03-13,智能手表,3019,1509.5,1509.5,0.5
2024-03-13,无线耳机,3540,1770.0,1770.0,0.5
2024-03-13,平板电脑,5044,3026.4,2017.6,0.39999999999999997
2024-03-14,智能手表,2602,1301.0,1301.0,0.5
2024-03-14,无线耳机,3354,1677.0,1677.0,0.5
2024-03-14,平板电脑,4874,2924.4,1949.6,0.39999999999999997
2024-03-15,智能手表,2520,1260.0,1260.0,0.5
2024-03-15,无线耳机,2617,1308.5,1308.5,0.5
2024-03-15,平板电脑,4909,2945.4,1963.6,0.39999999999999997
2024-03-16,智能手表,4113,2056.5,2056.5,0.5
2024-03-16,无线耳机,5312,2656.0,2656.0,0.5
2024-03-16,平板电脑,6103,3661.7999999999997,2441.2000000000003,0.4
2024-03-17,智能手表,4178,2089.0,2089.0,0.5
2024-03-17,无线耳机,4776,2388.0,2388.0,0.5
2024-03-17,平板电脑,6263,3757.7999999999997,2505.2000000000003,0.4
2024-03-18,智能手表,2682,1341.0,1341.0,0.5
2024-03-18,无线耳机,3436,1718.0,1718.0,0.5
2024-03-18,平板电脑,4757,2854.2,1902.8000000000002,0.4
2024-03-19,智能手表,2870,1435.0,1435.0,0.5
2024-03-19,无线耳机,3544,1772.0,1772.0,0.5
2024-03-19,平板电脑,5372,3223.2,2148.8,0.4
2024-03-20,智能手表,3279,1639.5,1639.5,0.5
2024-03-20,无线耳机,3470,1735.0,1735.0,0.5
2024-03-20,平板电脑,5929,3557.4,2371.6,0.39999999999999997
2024-03-21,智能手表,3125,1562.5,1562.5,0.5
2024-03-21,无线耳机,3269,1634.5,1634.5,0.5
2024-03-21,平板电脑,5944,3566.4,2377.6,0.39999999999999997
2024-03-22,智能手表,3449,1724.5,1724.5,0.5
2024-03-22,无线耳机,2894,1447.0,1447.0,0.5
2024-03-22,平板电脑,4699,2819.4,1879.6,0.39999999999999997
2024-03-23,智能手表,3646,1823.0,1823.0,0.5
2024-03-23,无线耳机,4415,2207.5,2207.5,0.5
2024-03-23,平板电脑,7116,4269.599999999999,2846.4000000000005,0.4000000000000001
2024-03-24,智能手表,4093,2046.5,2046.5,0.5
2024-03-24,无线耳机,3920,1960.0,1960.0,0.5
2024-03-24,平板电脑,8556,5133.599999999999,3422.4000000000005,0.4000000000000001
2024-03-25,智能手表,2792,1396.0,1396.0,0.5
2024-03-25,无线耳机,2625,1312.5,1312.5,0.5
2024-03-25,平板电脑,4509,2705.4,1803.6,0.39999999999999997
2024-03-26,智能手表,3530,1765.0,1765.0,0.5
2024-03-26,无线耳机,2796,1398.0,1398.0,0.5
2024-03-26,平板电脑,4791,2874.6,1916.4,0.4
2024-03-27,智能手表,2562,1281.0,1281.0,0.5
2024-03-27,无线耳机,2467,1233.5,1233.5,0.5
2024-03-27,平板电脑,5408,3244.7999999999997,2163.2000000000003,0.4000000000000001
2024-03-28,智能手表,2556,1278.0,1278.0,0.5
2024-03-28,无线耳机,3458,1729.0,1729.0,0.5
2024-03-28,平板电脑,5047,3028.2,2018.8000000000002,0.4
2024-03-29,智能手表,3002,1501.0,1501.0,0.5
2024-03-29,无线耳机,3012,1506.0,1506.0,0.5
2024-03-29,平板电脑,5880,3528.0,2352.0,0.4
2024-03-30,智能手表,4502,2251.0,2251.0,0.5
2024-03-30,无线耳机,5332,2666.0,2666.0,0.5
2024-03-30,平板电脑,7393,4435.8,2957.2,0.39999999999999997
2024-03-31,智能手表,4327,2163.5,2163.5,0.5
2024-03-31,无线耳机,4666,2333.0,2333.0,0.5
2024-03-31,平板电脑,6752,4051.2,2700.8,0.4
